Portafoglio : TOTALE;;;;;;;;;;;;;;
Conto : H4091 BOTTELLI MASSIMO;;;;;;;;;;;;;;
Data estrazione : 2026/08/06 14:1:49;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Valore portafoglio : 282784,60€;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Strumento;Ticker;Isin;Prezzo;Trend %;Quantita;Valore di carico;Valore attuale;Gain/Loss €;Gain/Loss %;Gain/Loss € Intraday;Prezzo medio;Bid;Ask;Divisa
iMGP DBi Managed Futures Fund R EUR UCIT;DBMFE;LU2951555403;121,73;0,19;250;30548;30435;-113;-0,37;60;122,192;121,74;121,75;EUR
Xtrackers MSCI World ex USA UCITS ETF;EXUS;IE0006WW1TQ4;40,575;0,25;870;28573,94;35287,2;6713,26;23,49;73,95;32,8436;40,56;40,575;EUR
ISHARES EDG MSCI E VAL FAC UCITS ETF ACC;IEVL;IE00BQN1K901;14,148;0,18;1110;13990,36;15706,5;1716,14;12,27;31,08;12,6039;14,15;14,158;EUR
VANGUARD S&P 500 UCITS ETF ACC;VUAA;IE00BFMXXD54;129,42;-0,12;330;36393,16;42682,2;6289,04;17,28;-75,9;110,2823;129,34;129,39;EUR
iShares Diversified Commodity Swap UCITS;X.SXRS;IE00BDFL4P12;8,339;0,25;1500;13156,5;12492;-664,5;-5,05;15;8,771;8,328;8,338;EUR
XTRACKERS II EUR OVNI RATE SWA UCITS ETF;XEON;LU0290358497;149,8446;0,01;280;41379,42;41955,98;576,56;1,39;3,19;147,7836;149,8428;149,8446;EUR
iShares iBonds Dec 30   Corp UCITS ETF A;30IA;IE000Y2BJVK9;5,321;-0,04;4761;24995,25;25323,76;328,51;1,31;-19,04;5,25;5,319;5,322;EUR
BTP FUTURA LG30 EUR;M.508881;IT0005415291;93,25;-0,2;10000;8616;9325;709;8,23;-19;86,16;93,25;93,4;EUR
BTP TF 2,5% DC32 EUR;M.509866;IT0005494239;94,84;-0,15;7000;6605,9;6641,6;35,7;0,54;-7;94,37;94,88;94,9;EUR
BTP VALORE SC OCT28 EUR;M.510740;IT0005565400;102,93;0;10000;10243;10293;50;0,49;0;102,43;102,93;102,95;EUR
BTP ITA JUN 32 EUR C;M.511969;IT0005648248;101,57;0;20000;20000;20553,91;553,91;2,77;0;98,8328;0;0;EUR
BTP VAL SC OT32 CUM EUR;M.512272;IT0005672016;98,32;0,14;20000;20000;19664;-336;-1,68;0;100;0;0;EUR
SELLAS LIFE SCIENCES GROUP INC;.SLS;US81642T2096;11,89;0,25;1200;5061,53;12260,8;7199,27;142,24;-62,34;4,8713;11,8;11,95;USD
;;;;;;259563,06;282620,95;23057,89;8,88;-0,07;;;;
